Periodo;Mês;Ano;Básicas;Dependentes;Estilo;Viagens;Patrimonial;Financiamento 1;Financiamento 2;Financiamento 3;Financiamento 4;Financiamento 5;Despesas Totais;Receita Ativa;Receita Passiva;Receita Patrimônio;INSS;Receitas Totais;CS;Portf Inicial;Total Vendas;Projetos;Saving;Renta $;Portf Final;Projetos BRL;Projetos USD;Caixa;Longevidade
janeiro-25;janeiro;2025;23000;15000;13000;0;5350;18941.57438;0;4643.949359;0;0;79935.52374;70000;0;3950;0;73950;0;4536479.519;0;0;-5985.523738;14851.25347;4545345.249;327962.3566;287736.3613;300000;3629646.531
fevereiro-25;fevereiro;2025;23000;15000;13000;0;6650;18879.55329;0;4643.949359;0;0;81173.50265;70000;0;3950;0;73950;;4545345.249;0;0;-7223.502645;14880.27757;4553002.024;329036.02;288678.3353;300000;3635287.669
março-25;março;2025;23000;15000;13000;0;5350;18817.53219;0;4643.949359;0;0;79811.48155;70000;0;3950;0;73950;;4553002.024;0;0;-5861.481553;14905.34385;4562045.886;330113.1983;289623.393;300000;3642309.295
abril-25;abril;2025;23000;15000;13000;0;5350;18755.5111;0;4643.949359;0;0;79749.46046;135000;0;3950;0;138950;;4562045.886;0;0;59200.53954;14934.95111;4636181.377;331193.9031;290571.5447;300000;3714415.929
maio-25;maio;2025;23000;15000;13000;0;5350;18693.49001;0;4643.949359;0;0;79687.43937;70000;0;3950;0;73950;;4636181.377;0;0;-5737.439369;15177.65141;4645621.589;332278.1457;291522.8003;300000;3721820.643
junho-25;junho;2025;23000;15000;13000;0;5350;18631.46892;0;4643.949359;0;0;79625.41828;70000;0;3950;0;73950;;4645621.589;0;0;-5675.418276;15208.55621;4655154.727;333365.9379;292477.1701;300000;3729311.619
julho-25;julho;2025;23000;15000;13000;55683;5350;18569.44782;0;4643.949359;0;0;135246.3972;70000;0;3950;0;73950;;4655154.727;0;0;-61296.39718;15239.76522;4609098.095;334457.2912;293434.6642;300000;3681206.139
agosto-25;agosto;2025;23000;15000;13000;0;5350;18507.42673;0;4643.949359;0;0;79501.37609;70000;0;3950;0;73950;;4609098.095;0;0;-5551.376092;15088.98779;4618635.707;335552.2174;294395.293;300000;3688688.196
setembro-25;setembro;2025;23000;15000;13000;0;5350;18445.40564;0;4643.949359;0;0;79439.355;70000;0;3950;0;73950;;4618635.707;0;0;-5489.355;15120.21145;4628266.563;336650.728;295359.0665;300000;3696256.768
outubro-25;outubro;2025;23000;15000;13000;0;5350;18383.38455;0;4643.949359;0;0;79377.33391;70000;0;3950;0;73950;;4628266.563;0;0;-5427.333907;15151.74037;4637990.969;337752.8349;296325.9953;300000;3703912.139
