Periodo;Mês;Ano;Básicas;Dependentes;Estilo;Viagens;Patrimonial;Financiamento 1;Financiamento 2;Financiamento 3;Financiamento 4;Financiamento 5;Despesas Totais;Receita Fixa;Receita Variável;Receita Patrimônio;INSS;Receitas Totais;CS;Portf Inicial;Total Vendas;Projetos;Saving;Renta $;Portf Final
45658;janeiro;2025;23000;11000;13000;0;5350;18941.57438;0;4643.949359;0;0;75935.52374;50000;20000;3950;0;73950;0;3645163.184;0;0;-1985.523738;11933.31573;3655110.976
45689;fevereiro;2025;23000;11000;13000;0;6650;18879.55329;0;4643.949359;0;0;77173.50265;50000;20000;3950;0;73950;;3655110.976;0;0;-3223.502645;11965.88221;3663853.355
45717;março;2025;23000;11000;13000;0;5350;18817.53219;0;4643.949359;0;0;75811.48155;50000;20000;3950;0;73950;;3663853.355;0;0;-1861.481553;11994.50248;3673986.376
45748;abril;2025;23000;11000;13000;0;5350;18755.5111;0;4643.949359;0;0;75749.46046;50000;85000;3950;0;138950;;3673986.376;0;0;63200.53954;12027.67536;3749214.591
45778;maio;2025;23000;11000;13000;0;5350;18693.49001;0;4643.949359;0;0;75687.43937;50000;20000;3950;0;73950;;3749214.591;0;0;-1737.439369;12273.95296;3759751.105
45809;junho;2025;23000;11000;13000;0;5350;18631.46892;0;4643.949359;0;0;75625.41828;50000;20000;3950;0;73950;;3759751.105;0;0;-1675.418276;12308.44676;3770384.133
45839;julho;2025;23000;11000;13000;55426;5350;18569.44782;0;4643.949359;0;0;130989.3972;50000;20000;3950;0;73950;;3770384.133;0;0;-57039.39718;12343.25653;3725687.992
45870;agosto;2025;23000;11000;13000;0;5350;18507.42673;0;4643.949359;0;0;75501.37609;50000;20000;3950;0;73950;;3725687.992;0;0;-1551.376092;12196.933;3736333.549
45901;setembro;2025;23000;11000;13000;0;5350;18445.40564;0;4643.949359;0;0;75439.355;50000;20000;3950;0;73950;;3736333.549;0;0;-1489.355;12231.78378;3747075.978
45931;outubro;2025;23000;11000;13000;0;5350;18383.38455;0;4643.949359;0;0;75377.33391;50000;20000;3950;0;73950;;3747075.978;0;0;-1427.333907;12266.9517;3757915.596
45962;novembro;2025;23000;11000;13000;0;5350;18321.36346;0;4643.949359;0;0;75315.31282;50000;86666.66;3950;0;140616.66;;3757915.596;0;0;65301.34718;12302.43778;3835519.381
45992;dezembro;2025;23000;11000;13000;55426;5350;18259.34236;0;4643.949359;0;0;130679.2917;50000;20000;3950;0;73950;;3835519.381;0;0;-56729.29172;12556.49238;3791346.581
46023;janeiro;2026;23000;12000;13000;0;10723.99;18197.32127;9259.402155;4643.949359;0;0;90824.66279;50000;20000;15035.2;0;85035.2;;3791346.581;0;0;-5789.462786;12411.88213;3797969.001
46054;fevereiro;2026;23000;12000;13000;0;12578.25;18135.30018;9259.402155;4643.949359;0;0;92616.90169;50000;20000;15035.2;0;85035.2;;3797969.001;0;0;-7581.701694;12433.56221;3802820.861
46082;março;2026;23000;12000;13000;0;10723.99;18073.27909;9259.402155;4643.949359;0;0;90700.6206;50000;20000;15035.2;0;85035.2;;3802820.861;0;0;-5665.420602;12449.44594;3809604.887
46113;abril;2026;23000;12000;13000;0;10723.99;18011.25799;9259.402155;4643.949359;0;0;90638.59951;50000;85000;15035.2;0;150035.2;;3809604.887;0;0;59396.60049;12471.65507;3881473.142
46143;maio;2026;23000;12000;13000;0;10723.99;17949.2369;9259.402155;4643.949359;0;0;90576.57842;50000;20000;15035.2;0;85035.2;;3881473.142;0;0;-5541.378417;12706.93304;3888638.697
46174;junho;2026;23000;12000;13000;0;10723.99;17887.21581;9259.402155;4643.949359;0;0;90514.55733;50000;20000;15035.2;0;85035.2;;3888638.697;0;0;-5479.357325;12730.3912;3895889.731
46204;julho;2026;23000;12000;13000;55426;10723.99;17825.19472;9259.402155;4643.949359;0;0;145878.5362;50000;20000;15035.2;0;85035.2;;3895889.731;0;0;-60843.33623;12754.1292;3847800.524
46235;agosto;2026;23000;12000;13000;0;10723.99;17763.17363;9259.402155;4643.949359;0;0;90390.51514;50000;20000;15035.2;0;85035.2;;3847800.524;0;0;-5355.315141;12596.69765;3855041.906
46266;setembro;2026;23000;12000;13000;0;10723.99;17701.15253;9259.402155;4643.949359;0;0;90328.49405;50000;20000;15035.2;0;85035.2;;3855041.906;0;0;-5293.294048;12620.40405;3862369.016
46296;outubro;2026;23000;12000;13000;0;10723.99;17639.13144;9259.402155;4643.949359;0;0;90266.47296;50000;20000;15035.2;0;85035.2;;3862369.016;0;0;-5231.272956;12644.3911;3869782.134
46327;novembro;2026;23000;12000;13000;0;10723.99;17577.11035;9259.402155;4643.949359;0;0;90204.45186;50000;86666.66;15035.2;0;151701.86;;3869782.134;0;0;61497.40814;12668.65972;3943948.202
46357;dezembro;2026;23000;12000;13000;55426;10723.99;17515.08926;9259.402155;4643.949359;0;0;145568.4308;50000;20000;15035.2;0;85035.2;;3943948.202;0;0;-60533.23077;12911.46013;3896326.432
46388;janeiro;2027;23000;13000;13000;0;10723.99;17453.06816;9259.402155;4643.949359;0;0;91080.40968;50000;20000;15035.2;0;85035.2;;3896326.432;0;0;-6045.20968;12755.55884;3903036.781
46419;fevereiro;2027;23000;13000;13000;0;12578.25;17391.04707;9259.402155;4643.949359;0;0;92872.64859;50000;20000;15035.2;0;85035.2;;3903036.781;0;0;-7837.448587;12777.52678;3907976.859
46447;março;2027;23000;13000;13000;0;10723.99;17329.02598;9259.402155;4643.949359;0;0;90956.3675;50000;20000;15035.2;0;85035.2;;3907976.859;0;0;-5921.167495;12793.69931;3914849.391
