Periodo;Mes;Ano;Basicas;Dependentes;Estilo;Viagens;Patrimonial;Financiamento 1;Financiamento 2;Financiamento 3;Financiamento 4;Financiamento 5;Despesas Totais;Receita Fixa;Receita Variavel;Receita Patrimonio;INSS;Receitas Totais;CS;Portf Inicial;Total Vendas;Projetos;Saving;Renta $;Portf Final
45657;janeiro;2025;23000.00;11000.00;13000.00;0.00;5350.00;4643.95;18941.57;0.00;0.00;0.00;75935.52;70000.00;0.00;3950.00;0.00;73950.00;;3645163.18;0.00;0.00;-1985.52;0.00;3655110.97
45688;fevereiro;2025;23000.00;11000.00;13000.00;0.00;6650.00;4643.95;18879.55;0.00;0.00;0.00;77173.50;70000.00;0.00;3950.00;0.00;73950.00;;3655110.97;0.00;0.00;-3223.50;0.00;3663853.35
45716;março;2025;23000.00;11000.00;13000.00;0.00;5350.00;4643.95;18817.53;0.00;0.00;0.00;75811.48;70000.00;0.00;3950.00;0.00;73950.00;;3663853.35;0.00;0.00;-1861.48;0.00;3673986.37
45747;abril;2025;23000.00;11000.00;13000.00;0.00;5350.00;4643.95;18755.51;0.00;0.00;0.00;75749.46;135000.00;0.00;3950.00;0.00;138950.00;;3673986.37;0.00;0.00;63200.54;0.00;3749214.59
45777;maio;2025;23000.00;11000.00;13000.00;0.00;5350.00;4643.95;18693.49;0.00;0.00;0.00;75687.44;70000.00;0.00;3950.00;0.00;73950.00;;3749214.59;0.00;0.00;-1737.44;0.00;3759751.10
45808;junho;2025;23000.00;11000.00;13000.00;0.00;5350.00;4643.95;18631.47;0.00;0.00;0.00;75625.42;70000.00;0.00;3950.00;0.00;73950.00;;3759751.10;0.00;0.00;-1675.42;0.00;3770384.13
45838;julho;2025;23000.00;11000.00;13000.00;55426.00;5350.00;4643.95;18569.45;0.00;0.00;0.00;130989.40;70000.00;0.00;3950.00;0.00;73950.00;;3770384.13;0.00;0.00;-57039.40;0.00;3725687.99
45869;agosto;2025;23000.00;11000.00;13000.00;0.00;5350.00;4643.95;18507.43;0.00;0.00;0.00;75501.38;70000.00;0.00;3950.00;0.00;73950.00;;3725687.99;0.00;0.00;-1551.38;0.00;3736333.55
45900;setembro;2025;23000.00;11000.00;13000.00;0.00;5350.00;4643.95;18445.41;0.00;0.00;0.00;75439.35;70000.00;0.00;3950.00;0.00;73950.00;;3736333.55;0.00;0.00;-1489.35;0.00;3747075.97
45930;outubro;2025;23000.00;11000.00;13000.00;0.00;5350.00;4643.95;18383.38;0.00;0.00;0.00;75377.33;70000.00;0.00;3950.00;0.00;73950.00;;3747075.97;0.00;0.00;-1427.33;0.00;3757915.59
45961;novembro;2025;23000.00;11000.00;13000.00;0.00;5350.00;4643.95;18321.36;0.00;0.00;0.00;75315.31;136666.33;0.00;3950.00;0.00;140616.33;;3757915.59;0.00;0.00;65301.02;0.00;3835519.05
45991;dezembro;2025;23000.00;11000.00;13000.00;55426.00;5350.00;4643.95;18259.34;0.00;0.00;0.00;130679.29;70000.00;0.00;3950.00;0.00;73950.00;;3835519.05;0.00;0.00;-56729.29;0.00;3791346.25
46022;janeiro;2026;23000.00;12000.00;13000.00;0.00;10723.99;4643.95;18197.32;9259.40;0.00;0.00;90824.66;70000.00;0.00;15035.20;0.00;85035.20;;3791346.25;0.00;0.00;-5789.46;0.00;3797968.66
46053;fevereiro;2026;23000.00;12000.00;13000.00;0.00;12578.25;4643.95;18135.30;9259.40;0.00;0.00;92616.90;70000.00;0.00;15035.20;0.00;85035.20;;3797968.66;0.00;0.00;-7581.70;0.00;3802820.52
46081;março;2026;23000.00;12000.00;13000.00;0.00;10723.99;4643.95;18073.28;9259.40;0.00;0.00;90700.62;70000.00;0.00;15035.20;0.00;85035.20;;3802820.52;0.00;0.00;-5665.42;0.00;3809604.55
46112;abril;2026;23000.00;12000.00;13000.00;0.00;10723.99;4643.95;18011.26;9259.40;0.00;0.00;90638.60;135000.00;0.00;15035.20;0.00;150035.20;;3809604.55;0.00;0.00;59396.60;0.00;3881472.80
46142;maio;2026;23000.00;12000.00;13000.00;0.00;10723.99;4643.95;17949.24;9259.40;0.00;0.00;90576.58;70000.00;0.00;15035.20;0.00;85035.20;;3881472.80;0.00;0.00;-5541.38;0.00;3888638.36
46173;junho;2026;23000.00;12000.00;13000.00;0.00;10723.99;4643.95;17887.22;9259.40;0.00;0.00;90514.56;70000.00;0.00;15035.20;0.00;85035.20;;3888638.36;0.00;0.00;-5479.36;0.00;3895889.39
46203;julho;2026;23000.00;12000.00;13000.00;55426.00;10723.99;4643.95;17825.19;9259.40;0.00;0.00;145878.54;70000.00;0.00;15035.20;0.00;85035.20;;3895889.39;0.00;0.00;-60843.34;0.00;3847800.18
46234;agosto;2026;23000.00;12000.00;13000.00;0.00;10723.99;4643.95;17763.17;9259.40;0.00;0.00;90390.52;70000.00;0.00;15035.20;0.00;85035.20;;3847800.18;0.00;0.00;-5355.32;0.00;3855041.56
46265;setembro;2026;23000.00;12000.00;13000.00;0.00;10723.99;4643.95;17701.15;9259.40;0.00;0.00;90328.49;70000.00;0.00;15035.20;0.00;85035.20;;3855041.56;0.00;0.00;-5293.29;0.00;3862368.67
46295;outubro;2026;23000.00;12000.00;13000.00;0.00;10723.99;4643.95;17639.13;9259.40;0.00;0.00;90266.47;70000.00;0.00;15035.20;0.00;85035.20;;3862368.67;0.00;0.00;-5231.27;0.00;3869781.79
46326;novembro;2026;23000.00;12000.00;13000.00;0.00;10723.99;4643.95;17577.11;9259.40;0.00;0.00;90204.45;136666.33;0.00;15035.20;0.00;151701.53;;3869781.79;0.00;0.00;61497.08;0.00;3943947.53
46356;dezembro;2026;23000.00;12000.00;13000.00;55426.00;10723.99;4643.95;17515.09;9259.40;0.00;0.00;145568.43;70000.00;0.00;15035.20;0.00;85035.20;;3943947.53;0.00;0.00;-60533.23;0.00;3896325.75
46387;janeiro;2027;23000.00;13000.00;13000.00;0.00;10723.99;4643.95;17453.07;9259.40;0.00;0.00;91080.41;70000.00;0.00;15035.20;0.00;85035.20;;3896325.75;0.00;0.00;-6045.21;0.00;3903036.10
46418;fevereiro;2027;23000.00;13000.00;13000.00;0.00;12578.25;4643.95;17391.05;9259.40;0.00;0.00;92872.65;70000.00;0.00;15035.20;0.00;85035.20;;3903036.10;0.00;0.00;-7837.45;0.00;3907976.18
46446;março;2027;23000.00;13000.00;13000.00;0.00;10723.99;4643.95;17329.03;9259.40;0.00;0.00;90956.37;70000.00;0.00;15035.20;0.00;85035.20;;3907976.18;0.00;0.00;-5921.17;0.00;3914848.70
46477;abril;2027;23000.00;13000.00;13000.00;0.00;10723.99;4643.95;17267.00;9259.40;0.00;0.00;90894.35;135000.00;0.00;15035.20;0.00;150035.20;;3914848.70;0.00;0.00;59140.85;0.00;3986805.75
46507;maio;2027;23000.00;13000.00;13000.00;0.00;10723.99;4643.95;17204.98;9259.40;0.00;0.00;90832.33;70000.00;0.00;15035.20;0.00;85035.20;;3986805.75;0.00;0.00;-5797.13;0.00;3994060.39
