Periodo,Ano,Mes,Receitas_Ativas,Receitas_Passivas,Total_Receitas,Despesas_Operacionais,Despesas_Patrimoniais,Total_Despesas,Financiamento1_Studio,Financiamento2_Moradia,Financiamento3_Orlando,Venda_Ativos,Desembolso_Objetivos,Portfolio_Inicial,Rendimento_Portfolio,Saving,Portfolio_Final
2025/01,2025,1,0.00,0.00,0.00,0.00,5350.00,0.00,4643.95,18941.57,0.00,0.00,0.00,3645163.18,0.00,-1985.52,3655110.97
2025/02,2025,2,0.00,0.00,0.00,0.00,6650.00,0.00,4643.95,18879.55,0.00,0.00,0.00,3655110.97,0.00,-3223.50,3663853.35
2025/03,2025,3,0.00,0.00,0.00,0.00,5350.00,0.00,4643.95,18817.53,0.00,0.00,0.00,3663853.35,0.00,-1861.48,3673986.37
2025/04,2025,4,0.00,0.00,0.00,0.00,5350.00,0.00,4643.95,18755.51,0.00,0.00,0.00,3673986.37,0.00,28200.54,3714214.59
2025/05,2025,5,0.00,0.00,0.00,0.00,5350.00,0.00,4643.95,18693.49,0.00,0.00,0.00,3714214.59,0.00,-1737.44,3724636.52
2025/06,2025,6,0.00,0.00,0.00,0.00,5350.00,0.00,4643.95,18631.47,0.00,0.00,0.00,3724636.52,0.00,-1675.42,3735154.59
2025/07,2025,7,0.00,0.00,0.00,0.00,5350.00,0.00,4643.95,18569.45,0.00,0.00,0.00,3735154.59,0.00,-57490.40,3689892.12
2025/08,2025,8,0.00,0.00,0.00,0.00,5350.00,0.00,4643.95,18507.43,0.00,0.00,0.00,3689892.12,0.00,-1551.38,3700420.49
2025/09,2025,9,0.00,0.00,0.00,0.00,5350.00,0.00,4643.95,18445.41,0.00,0.00,0.00,3700420.49,0.00,-1489.35,3711045.35
2025/10,2025,10,0.00,0.00,0.00,0.00,5350.00,0.00,4643.95,18383.38,0.00,0.00,0.00,3711045.35,0.00,-1427.33,3721767.01
2025/11,2025,11,0.00,0.00,0.00,0.00,5350.00,0.00,4643.95,18321.36,0.00,0.00,0.00,3721767.01,0.00,65301.02,3799252.13
2025/12,2025,12,0.00,0.00,0.00,0.00,5350.00,0.00,4643.95,18259.34,0.00,0.00,0.00,3799252.13,0.00,-57180.29,3754509.60
2026/01,2026,1,0.00,0.00,0.00,0.00,10775.86,0.00,4643.95,18197.32,9334.75,0.00,0.00,3754509.60,0.00,-5826.47,3760974.41
2026/02,2026,2,0.00,0.00,0.00,0.00,12634.63,0.00,4643.95,18135.30,9334.75,0.00,0.00,3760974.41,0.00,-7623.22,3765663.64
2026/03,2026,3,0.00,0.00,0.00,0.00,10775.86,0.00,4643.95,18073.28,9334.75,0.00,0.00,3765663.64,0.00,-5702.43,3772289.02
